
#################ModelProject 1 - 2dofrobotarm  #########################
2dofrobotarm | Decision |   | 
city_water | city_water | flow_out,state_out1,state_out2,level  | start_in1,stop_in1,start_in2,stop_in2,wstart_in1,wstop_in1,wstart_in2,wstop_in2,power_in
city_water | pump | state_out1,state_out2,flow_out  | start_in1,start_in2,stop_in1,stop_in2,level_in,low_level_in,power_in
city_water | pump_station | flow_out,state_out1,state_out2,level  | q_in,start_in1,stop_in1,start_in2,stop_in2,power_in
city_water | reservoir | level_out,low_level_out  | q_in,qp_in
city_water | well_pump | flow_out  | start_in1,start_in2,stop_in1,stop_in2

#################ModelProject 17 - clock  #########################
clock | alarmClock | displayed_time buzzer_on  | hours minutes time_set alarm_set alarm_on snooze
clock | alarmController | alarm_time buzzer_on  | time_of_day hours minutes alarm_set time_set snooze alarm_on
clock | alarmRegTest | c_alarm_time  | c_alarm_set c_hours c_minutes
clock | buzzerDriverTest | c_buzzer_on  | c_time_set c_alarm_set c_alarm_on c_time_match c_snooze
clock | hrRegTest | c_time_hours  | c_time_set c_hours c_wrap_around
clock | minRegTest | c_time_minutes c_wrap_around  | c_time_set c_minutes
clock | timeReg | c_time_of_day  | c_time_set c_hours c_minutes
clock | timeRegister | time_of_day  | time_set hours minutes

#################ModelProject 18 - clock_2  #########################
clock_2 | AgujaHour | VALUE  | INCREMENT DECREMENT
clock_2 | AgujaMin | VALUE OUT_INCREMENT OUT_DECREMENT  | TIC IN_INCREMENT IN_DECREMENT
clock_2 | Agujas | HOUR_VALUE MIN_VALUE  | TIC INCREMENT DECREMENT
clock_2 | Alarma | ALARM_ON ALARM_OFF SOUND_ALARM  | ACTIVATE DEACTIVATE ALARM_HOUR ALARM_MIN CLOCK_HOUR CLOCK_MIN
clock_2 | ControlAlarma | ALARM_ON ALARM_OFF SOUND_ALARM ALARM_MIN ALARM_HOUR  | ACTIVATE DEACTIVATE CLOCK_HOUR CLOCK_MIN INCREMENT DECREMENT
clock_2 | ControlEncendido | CLOCK_ON CLOCK_OFF  | TURN_ON TURN_OFF
clock_2 | Motor | TIC CLOCK_ON CLOCK_OFF  | TURN_ON TURN_OFF
clock_2 | Pendulo | TIC  | TURN_ON TURN_OFF
clock_2 | Reloj | CLOCK_ON CLOCK_OFF ALARM_ON ALARM_OFF SOUND_ALARM CLOCK_HOUR CLOCK_MIN ALARM_HOUR ALARM_MIN  | TURN_ON TURN_OFF ACTIVATE DEACTIVATE INCREMENT DECREMENT INC_ALARM DEC_ALARM

#################ModelProject 19 - communicationsmanagementsystem  #########################
communicationsmanagementsystem | CMS |   | 

#################ModelProject 20 - CruiseControlSystem  #########################
CruiseControlSystem | BreakController | testOut  | testIn
CruiseControlSystem | ButtonController | testOutTurnOn,testOutTurnOff,testOutDec,testOutInc,testOutSet,testOutResume  | testInOn,testInOff,testInSet,testInAcc,testInDec,testInResume
CruiseControlSystem | ButtonInputModule | testOut_ON,testOut_OFF,testOut_SET,testOut_ACC,testOut_DEC,testOut_RESUME  | testIn
CruiseControlSystem | CCSController | testOut_INC,testOut_DEC,testOut_STOP  | testIn_TURNEDON,testIn_TURNEDOFF,testIn_INC,testIn_DEC,testIn_SET,testIn_RESUME,testIn_BREAK,testIn_GAS,testIn_SPEED
CruiseControlSystem | CruiseControlSystem | testThrottle  | testInButton,testInBreak,testInGasPedal,testInSpeedSensor
CruiseControlSystem | Decrease | testOut  | testIn
CruiseControlSystem | Increase | testOut  | testIn
CruiseControlSystem | ONOFFController | testONOut testOFFOut  | testONIn testOFFIn
CruiseControlSystem | OutputModule | testThrottle  | testInc testDec testStp
CruiseControlSystem | PedalController | testOut  | testIn
CruiseControlSystem | ProcessingModule | testOutInc,testOutDec,testOutStop  | testInOn,testInOff,testInSet,testInAcc,testInDec,testInResume,testInBreak,testInGas,testInSpeed
CruiseControlSystem | Resume | testOut  | testIn
CruiseControlSystem | Set | testOut  | testIn
CruiseControlSystem | SpeedController | testIncOut,testDecOut  | testAccIn,testDecIn

#################ModelProject 21 - CSMA-CA  #########################
CSMA-CA | Buffer | job_out  | msg_in done_in
CSMA-CA | CSMACA-DCF |   | 
CSMA-CA | Generator | Generator  | 
CSMA-CA | MAC |   | 
CSMA-CA | meduimAndTwoNodes |   | 
CSMA-CA | Meduim |   | 
CSMA-CA | Node |   | 
CSMA-CA | Transducer | throughput latency  | msg_gen msg_sent
CSMA-CA | TxRxController |   | 

#################ModelProject 22 - DEController  #########################
DEController | controlSystem | Ypout modelSelect observeU  | Yrin xTin plantState
DEController | genControl | Uout  | Yrin Ypin Ypdin Em1in Em2in Em3in
DEController | interpLast | xdout xddout  | evXin xTin
DEController | model1 | Ymout Eout  | Uin Ypin Ypdin Ypddin
DEController | model2 | Ymout Eout  | Uin Ypin Ypdin Ypddin
DEController | model3 | Ymout Eout  | Uin Ypin Ypdin Ypddin
DEController | plant | Ypout  | Uin Ypdin Ypddin Trigger plantState
DEController | unitDelay | theOut  | theIn

#################ModelProject 23 - DepthFinderDevice  #########################
DepthFinderDevice | Controller | out1,out2,out3  | in1,in2
DepthFinderDevice | Con_DS | out1,out2  | in1,in2
DepthFinderDevice | DepthSensor | DepthSensor  | in1,in2
DepthFinderDevice | Device | out1,out2  | in1,in2
DepthFinderDevice | Inflator | Inflator  | Inflator

#################ModelProject 24 - discrete_event_driven_vehicle  #########################
discrete_event_driven_vehicle | brakes |   | br_int
discrete_event_driven_vehicle | controlUnit | mot_torq br_int disp_info1 disp_info2 delta_angle  | accel decel emerg_brk act_rpm_fb turn_angle drive_straight act_ang_fb
discrete_event_driven_vehicle | DEDV_topmodel | mot_rpm wheel_turn  | accel decel emerg_brk turn_angle drive_straight act_wheel_angle act_rpm
discrete_event_driven_vehicle | display |   | display_in1 display_in2
discrete_event_driven_vehicle | motor | mot_rpm  | mot_torq
discrete_event_driven_vehicle | movementController | br_int mot_torq disp_info1  | act_rpm_fb accel decel emerg_brk
discrete_event_driven_vehicle | movementModel | mot_rpm act_rpm_fb  | mot_torq br_int act_rpm
discrete_event_driven_vehicle | steeringController | delta_angle disp_info2  | turn_angle drive_straight act_ang_fb
discrete_event_driven_vehicle | steeringModel | wheel_turn act_ang_fb  | delta_angle act_wheel_angle
discrete_event_driven_vehicle | steeringSensor | act_ang_fb  | act_wheel_angle
discrete_event_driven_vehicle | steerMechType | wheel_turn  | delta_angle
discrete_event_driven_vehicle | velocitySensor | act_rpm_fb  | act_rpm

#################ModelProject 25 - DocProc  #########################
DocProc | sample | tidleScan tidleInterpret tidleVerify  | lote fin

#################ModelProject 26 - FreightElev  #########################
FreightElev | Ecall | call_gen  | inside_call,outside_call
FreightElev | Econtrol |   | 
FreightElev | Elevator | floor  | acall
FreightElev | Evehicle |   | 
FreightElev | FElevator | floor  | inside_call,outside_call

#################ModelProject 27 - fsm  #########################
fsm | atm | idle checkin sel-transact sel-wd-ac in-amount confirm dispensing sel-depo-ac depo-ready depo-end errIn  | atm
fsm | boiling | cold heating boiling cooling errIn action  | boiling
fsm | mealy | evenSt  oddSt EerrInput OerrInput action  | mealy
fsm | moore | s0 s1 s2 errIn  | moore
fsm | vender | zero five ten fifteen twenty errIn action  | vender

#################ModelProject 28 - fsm2  #########################
fsm2 | Atm | idle checkingpin selectingtransaction withdrawing inputingamount confirming withdrawaldone depositing insertingmoney depositdone error  | Atm
fsm2 | MooreState | stateOut,transitionOut,errorOut  | transitionIn,eventIn
fsm2 | SimpleMooreMachine | s0 s1 s2 error  | SimpleMooreMachine
fsm2 | Telephony | idle gettingnumber ringingaside ringingbside speech waitonhook error  | Telephony
fsm2 | VenderMachine | zero five ten fifteen twenty error  | VenderMachine

#################ModelProject 29 - garagedoor  #########################
garagedoor | alarmGen | minor_alarm major_alarm  | unauth_attempt emerg alarm_reset
garagedoor | codeCont | incre validCode emerg  | input_code open_request emerg_open
garagedoor | counter | unauth_attempt  | incre
garagedoor | doorCont | validCode emerg unauth_attempt doorOpen  | input_code open_request emerg_open
garagedoor | doorTimer | doorOpen  | validCode
garagedoor | garageDoor | doorOpen minor_alarm major_alarm inlon outlon  | input_code open_request emerg_open alarm_reset motion light
garagedoor | lightIn | inlon  | validCode
garagedoor | lightOut | outlon  | motion light

#################ModelProject 30 - goBackNProtocol  #########################
goBackNProtocol | gbn | ->->->->->sentPkt,<-<-<-ack,!!!!!!!!!!!!!!!!!!!!!!!!!!reset  | startTx
goBackNProtocol | network | in1 in2,out1 out2  | 
goBackNProtocol | receiver | receiver  | receiver
goBackNProtocol | sender | dataOut,packetSent,ackReceived  | controlIn,ackIn
goBackNProtocol | timer | timeOutSig  | trigger,reset
goBackNProtocol | transmitter | ->->->->->->sentPkt,<-<-<-ack,!!!!!!!!!!!!!!!!!!!!!!!!!!reset  | startTx,ack

#################ModelProject 31 - grocerystore  #########################
grocerystore | store | customerFinished bagRemoved  | 

#################ModelProject 32 - GSM_Authentication_Sim  #########################
GSM_Authentication_Sim | AccessControl | Rand,SRES_1  | MaxValidId,Id
GSM_Authentication_Sim | GSM_Auth_Sim_ | Ok  | MaxValidId,On
GSM_Authentication_Sim | MobileNetwork | RAND,Ok  | MaxValidId,Id,SRES_2
GSM_Authentication_Sim | MobileSwitchingCenter | Ok  | SRES_1,SRES_2
GSM_Authentication_Sim | SIMCard | Id,SRES_2  | On,Rand

#################ModelProject 33 - HelicopterFlightDeckSimulation  #########################
HelicopterFlightDeckSimulation | hfdsControlledAirspace | OH,LC,WC  | IH,HA,TO,WA
HelicopterFlightDeckSimulation | hfdsControlTower | WC,LC,TC  | LR,WA,TO
HelicopterFlightDeckSimulation | hfdsDeckOfficer | DA  | DC,HA
HelicopterFlightDeckSimulation | hfdsHangar | HA  | CL,TO
HelicopterFlightDeckSimulation | hfdsHelicopter | LR,DC,OH  | IH,DA,LC,TC
HelicopterFlightDeckSimulation | hfdsMissionPlanning | NM  | CL
HelicopterFlightDeckSimulation | hfdsRast | CL,TO  | LC,NM
HelicopterFlightDeckSimulation | hfdsShipDeck | TO,HA  | LC
HelicopterFlightDeckSimulation | hfdsTop | outHelicopter,outLandingGranted  | inHelicopter
HelicopterFlightDeckSimulation | hfdsWeather | WA  | WC

#################ModelProject 34 - hercules  #########################
hercules | comparitor | comparitor  | in1,in2
hercules | data_queue | data_queue  | data_queue
hercules | FDG | FDG  | 
hercules | lms_simulator | lms_simulator  | 
hercules | processor | processor  | data_in,WOW_in
hercules | recorder | recorder  | recorder
hercules | WOW_gen | WOW_gen  | 

#################ModelProject 35 - HMC  #########################
HMC | body | output,current  | bodyin1,bodyin2,bodyin3,bodyin4,bodyin5,bodyin6,bodyin7,bodyin8,bodyin9,bodyin10,bodyin11,bodyin12,bodyin13,bodyin14,bodyin15,bodyin16,bodyin17,bodyin18,bodyin19,bodyin20,bodyin21,bodyin22,bodyin23,bodyin24,bodyin25,bodyin26,bodyin27,bodyin28,bodyin29,bodyin30,bodyin31,bodyin32,bodyin33,bodyin34,bodyin35,bodyin36,bodyin37,bodyin38,bodyin39,bodyin40,bodyin41,bodyin42,bodyin43,bodyin44,bodyin45,bodyin46,bodyin47,bodyin48,bodyin49,bodyin50,bodyin51,bodyin52,bodyin53,bodyin54,bodyin55,bodyin56,bodyin57,bodyin58,bodyin59,bodyin60,bodyin61,bodyin62,bodyin63,bodyin64,bodyin65,bodyin66,bodyin67,bodyin68,bodyin69,bodyin70,bodyin71,bodyin72,bodyin73,bodyin74,bodyin75,bodyin76,bodyin77,bodyin78,bodyin79,bodyin80,bodyin81
HMC | brain | brainout  | input,current
HMC | cord | cordout1,cordout2,cordout3,cordout4,cordout5,cordout6,cordout7,cordout8,cordout9,cordout10,cordout11,cordout12,cordout13,cordout14,cordout15,cordout16,cordout17,cordout18,cordout19,cordout20,cordout21,cordout22,cordout23,cordout24,cordout25,cordout26,cordout27,cordout28,cordout29,cordout30,cordout31,cordout32,cordout33,cordout34,cordout35,cordout36,cordout37,cordout38,cordout39,cordout40,cordout41,cordout42,cordout43,cordout44,cordout45,cordout46,cordout47,cordout48,cordout49,cordout50,cordout51,cordout52,cordout53,cordout54,cordout55,cordout56,cordout57,cordout58,cordout59,cordout60,cordout61,cordout62,cordout63,cordout64,cordout65,cordout66,cordout67,cordout68,cordout69,cordout70,cordout71,cordout72,cordout73,cordout74,cordout75,cordout76,cordout77,cordout78,cordout79,cordout80,cordout81  | brainout
HMC | hmc | output  | input

#################ModelProject 36 - hospitalLaundry  #########################
hospitalLaundry | hospitalLaundry | shortAmount shipped dirty  | 
hospitalLaundry | hospitalMA-test1 | dirty  | clean
hospitalLaundry | laundromatMA-test1 | shipped shortAmount  | dirty
hospitalLaundry | laundryCleaningMA-test1 | clean  | dirty
hospitalLaundry | laundryShippingMA-test1 | shipped shortAmount  | clean

#################ModelProject 37 - HouseHeating  #########################
HouseHeating | controller | HeaterCntrSignal  | Troom
HouseHeating | generat | Tout  | 
HouseHeating | heater | HeatGain  | HeaterCntrSignal,Troom
HouseHeating | HouseHeatSystem |   | 
HouseHeating | HouseHeatSystemReport | Tout Troom HeaterCntrSignal HeatLosses HeatGain  | 
HouseHeating | tempsensor | Troom  | HeatLosses,HeatGain
HouseHeating | Thermostat | Troom HeaterCntrSignal  | HeatLosses HeatGain
HouseHeating | transduc | HeatLosses  | Tout,Troom

#################ModelProject 38 - HumanMotionClassification  #########################
HumanMotionClassification | cameras | cam_pc  | pc_cam
HumanMotionClassification | classifier | result,trainAcc  | DP
HumanMotionClassification | hmc | result  | init
HumanMotionClassification | motion_capture_system | pcI tr_ts,DOut  | 
HumanMotionClassification | pc | DOut,pc_cam  | tr_ts,pcI,cam_pc
HumanMotionClassification | preprocessor | DP  | DIn

#################ModelProject 39 - HumitidyComparator  #########################
HumitidyComparator | CompareHumidity | humidDiff1  | in1 in2
HumitidyComparator | CompareTemp | tempDiff1  | in1 in2
HumitidyComparator | hospitalTC | condHeat humidD  | tSensor0 hSensor0
HumitidyComparator | memory | tempOut1 humidOut1  | tempIn1 humidIn1
HumitidyComparator | PatientInfo | infoOut1  | 
HumitidyComparator | ProcessorOne | tempOut1 humidOut1  | seasonIn1 timeIn1 peopleIn1
HumitidyComparator | ProcessorTwo | Port1 Port2  | inp1 inp2
HumitidyComparator | PT | humidD condHeat  | season time people tSensor2 hSensor2
HumitidyComparator | SandT | seasonPort1 timePort1  | 
HumitidyComparator | smallController | SPort1 SPort2  | in1 in2 in3 in4
HumitidyComparator | TC | TPort1 TPort2  | tSensor tempIn1 humidIn1 hSensor

#################ModelProject 40 - ImitationLearning  #########################
ImitationLearning | imitator_robot | imitator_robot  | intouch,insonar
ImitationLearning | observer_robot | observer_robot  | intt,ins

#################ModelProject 41 - IndustrialImagingSystem  #########################
IndustrialImagingSystem | buffer | imageOut,responseOut  | commandIn
IndustrialImagingSystem | camera | imageDataOut  | trigIn
IndustrialImagingSystem | cont_cameraMa | imageDataOut  | trigIn
IndustrialImagingSystem | FrameGrabber | imageOut,responseOut,timerOut  | commandIn,trigIn,imageIn
IndustrialImagingSystem | hsi | imageOut,responseOut,buf,ia,tim  | commandIn,responseIn,imageIn
IndustrialImagingSystem | iis_cont_cam | imageBufOut respOut  | triggerIn cmndIn
IndustrialImagingSystem | iis_fast_cam | imageBufOut respOut  | triggerIn cmndIn
IndustrialImagingSystem | iis_trig_cam | imageBufOut respOut  | triggerIn cmndIn
IndustrialImagingSystem | im_acq | imageOut,responseOut  | imageIn,commandIn
IndustrialImagingSystem | timer | timerOut,responseOut  | trigIn,commandIn

#################ModelProject 42 - jkclock  #########################
jkclock | andGate | andGate  | in_a in_b in_enable
jkclock | clock | out_clk  | 
jkclock | JK | Q Q_bar  | J K enable
jkclock | JK_clock | Q Q_bar  | J K enable
jkclock | norGate | norGate  | in_a in_b
jkclock | SR | Q Q_bar  | S R

#################ModelProject 43 - line_tracking_robot  #########################
line_tracking_robot | LineRobot | MOVER_OUT,MOVEL_OUT  | LIGHT_IN,START_IN

#################ModelProject 44 - Liver  #########################
Liver | lobule | lobule  | lobule

#################ModelProject 45 - loadbalancer  #########################
loadbalancer | lbs |   | 
loadbalancer | lbs_top |   | 
loadbalancer | LoadbalancerMA1 | LoadbalancerMA1  | LoadbalancerMA1
loadbalancer | LoadbalancerMA2 | out1 out2 out3  | LoadbalancerMA2
loadbalancer | server | out db  | in  done

#################ModelProject 46 - manufacturingfac  #########################
manufacturingfac | buffer | updatedNumElem partOut  | in done
manufacturingfac | Inspector1 | out1 out2 out3  | numBuf1 numBuf2 numBuf3
manufacturingfac | manfac_study1 | partOut1 partOut2 partOut3  | 
manufacturingfac | prioritizer | out1 out2 out3 inspectorReady  | in numBuf1 numBuf2 numBuf3
manufacturingfac | sorter | out2 out3 inspectorReady  | in numBuf2 numBuf3
manufacturingfac | warehouse1 | newPart  | inspectorReady
manufacturingfac | workstation1 | out ready  | in numBuf

#################ModelProject 47 - MemoryHierarchy  #########################
MemoryHierarchy | cachel1 | AddressOut,DataOut,ErrorOut  | AddressIn,DataIn
MemoryHierarchy | cachel2 | AddressOut,DataOut,ErrorOut  | AddressIn,DataIn
MemoryHierarchy | cache | cachedataout cacheaddressout  | cpuaddressin  mainmemorydatain
MemoryHierarchy | centralprocessingunit | AddressOut,DataReceived,ErrorOut  | ControlIn,DataIn
MemoryHierarchy | mainmemory | out errorout  | mainmemory
MemoryHierarchy | mh | AddressOut,DataReceived  | ControlIn

#################ModelProject 48 - microwaveoven  #########################
microwaveoven | beepTest | beep_out  | beep_in
microwaveoven | cookTimeTest | c_time_seconds c_time_minutes  | c_time_set c_seconds c_minutes
microwaveoven | curTimeRegTest | n_cur_time  | n_time_set n_hours n_minutes
microwaveoven | displayTest | c_cur_time c_rem_time  | c_day_time c_counter_time
microwaveoven | microwaveoven | beep_out c_powerlevel_out c_cur_time c_rem_time  | c_phase_set c_powerlevel_in c_seconds c_minutes c_hours c_time_set c_start c_stop c_clear
microwaveoven | minCookRegTest | c_time_minutes  | c_time_set c_minutes
microwaveoven | phaseRegTest | c_time_seconds c_time_minutes c_powerlevel_out  | c_phase_set c_powerlevel_in c_seconds c_minutes
microwaveoven | powerDrvTest | c_powerlevel_out  | c_power_set c_powerlevel_in
microwaveoven | powerLvlTest | c_powerlevel_out  | c_phase_set c_powerlevel_in
microwaveoven | secCookRegTest | c_time_seconds  | c_time_set c_seconds
microwaveoven | timeCounterTest | c_time_remaining c_powerswitch c_beep  | c_phase_set c_start c_stop c_clear c_seconds c_minutes

#################ModelProject 49 - mobilitymngmt  #########################
mobilitymngmt | Gateway | outCObject outSObject registerClient  | inCObject inSObject handoff
mobilitymngmt | GatewayQ | outCObject outSObject registerClient  | inCObject inSObject handoff done
mobilitymngmt | MobileTerminal | outG1 outG2 pG1 pG2 outApp  | inApp inG
mobilitymngmt | MobilityManagement |   | 
mobilitymngmt | MobilityModule | location  | 
mobilitymngmt | Server | outS  | inC
mobilitymngmt | Transceiver | outGateway1 outGateway2 positionSet1 positionSet2 outApp  | inApp inGateway position
mobilitymngmt | TransceiverQ | outCObject outSObject location  | inApp inGateway position done
mobilitymngmt | TupleClient | outCObject  | inCObject
mobilitymngmt | TupleQ | outSObject registerC  | inSObject registerClient done
mobilitymngmt | TupleServer | outSObject1 outSObject2 cRegistered  | inSObject registerClient
mobilitymngmt | WirelessGateway | outS outC register  | inS inC handoff

#################ModelProject 50 - multitasksrv  #########################
multitasksrv | model1 | throughput  | 

#################ModelProject 51 - NavigationAvionics  #########################
NavigationAvionics | gps | port_out_gps_x,port_out_gps_y,port_out_gps_z  | port_in_power
NavigationAvionics | gyro | port_out_accel  | port_in_power
NavigationAvionics | IRS | irs_x_pos,irs_y_pos,irs_z_pos  | port_in_power,port_in_gps_x,port_in_gps_y,port_in_gps_z
NavigationAvionics | irs_computer | port_out_irs_x,port_out_irs_y,port_out_irs_z  | port_in_power,port_in_gps_x,port_in_gps_y,port_in_gps_z,port_in_gyro_x,port_in_gyro_y,port_in_gyro_z
NavigationAvionics | NavigationAvionics | irs_x_pos,irs_y_pos,irs_z_pos  | port_in_power
NavigationAvionics | NavigationAvionicsIndependentPower | irs_x_pos,irs_y_pos,irs_z_pos  | port_in_power_gps,port_in_power_irs

#################ModelProject 52 - Nerve_Cell_Membrane  #########################
Nerve_Cell_Membrane | ion_gate | out_Delta_V,out_g  | in_Delta_V,in_V
Nerve_Cell_Membrane | ion_generator | out_Delta_V  | 
Nerve_Cell_Membrane | K_channel | out_Delta_V  | in_V
Nerve_Cell_Membrane | Na_channel | out_Delta_V  | in_V
Nerve_Cell_Membrane | NCM | out_Delta_V_left,out_Delta_V_right,out_V0,out_V1,out_V2,out_V3  | in_Delta_V_left,in_Delta_V_right
Nerve_Cell_Membrane | NCM_node | out_Delta_V,out_V  | in_Delta_V
Nerve_Cell_Membrane | voltage_regulator | out_V  | in_Delta_V

#################ModelProject 53 - NetworkIP  #########################
NetworkIP | Application | outtoTransport outtoUser  | infromHTTPuser infromFTPuser infromTelNetuser infromSMTPuser infromSNMPuser infromTransport
NetworkIP | dataLink |   | 
NetworkIP | host | hOut Display senseCarrier ApplicationTransport  | FTP_In HTTP_In SMTP_In SNMP_In Telnet_In physicalInput statusCarrier Source Destination
NetworkIP | Network | outtoTransport outtoDataLink  | infromTransport infromDataLink SourceIP DestinationIP
NetworkIP | PacketProcessor | destination updatetable requ getPacket out next  | in outInterface packet cont
NetworkIP | RIPTable | out_interface out done  | address request update
NetworkIP | router | out1 out2  | in1 in2
NetworkIP | RouterIn | to_RPU flag interfaceNum  | in ready
NetworkIP | RouterOut | RouterOut  | from_RPU interfaceNum
NetworkIP | Transport | outtoApplication outtoNetwork  | infromApplication infromNetwork

#################ModelProject 54 - newspaper  #########################
newspaper | news | news  | news
newspaper | newspaper |   | 
newspaper | news_atomic | news_atomic  | news_atomic
newspaper | news_couple | news_couple  | news_couple

#################ModelProject 55 - nif  #########################
nif | account | accountNO_out  | account_setting,plus_in,minus_in
nif | datageneration | data1_out,data2_out,data3_out,data4_out  | accountNO_in,LT_in
